"route","stop_order","stop","lat","lon","geocode_status","display_name"
"259","11","تريامف","","","not_found",""
"259","12","ميدان الحجاز","30.1115116","31.3458229","matched","ميدان الحجاز, الحلمية, القاهرة, مصر"
"259","13","مستشفى العيون","30.0209068","31.2431749","matched","مستشفى المقطم, شارع مجري العيون, حدائق زينهم, زينهم, عين الصيرة, القاهرة, 11654, مصر"
"259","14","الكلية الحربية","30.1092459","31.3594347","matched","الكلية الحربية, شارع محمود عصمت حمدى, بلوك 1228, القاهرة, 11799, مصر"
"259","15","مساكن شيراتون","30.1075622","31.4087055","matched","شيراتون المطار, القاهرة, مصر"
"87","1","مساكن أسكو","30.1502774","31.2772803","matched","مساكن اسكو, بهتيم, شبرا الخيمة, القليوبية, مصر"
"87","2","بهتيم","30.1389642","31.2655197","matched","بهتيم, شبرا الخيمة, القليوبية, 13752, مصر"
"87","3","الشارع الجديد","30.1399447","31.3526092","matched","الشارع الجديد, القاهرة, 11793, مصر"
"87","4","مسطرد","30.1382602","31.2962809","matched","مسطرد, شبرا الخيمة, القليوبية, 13753, مصر"
"87","5","كوبرى السواح","","","not_found",""
"87","6","اميرية","","","not_found",""
"87","7","حدائق القبة","30.0821784","31.2825387","matched","حدائق القبة, الدمرداش, القاهرة, 11646, مصر"
"87","8","كوبرى الفنجري","30.0662628","31.3056026","matched","كوبري الفنجري, امتداد رمسيس 2, ثان مدينة نصر, القاهرة, 11153, مصر"
"87","9","نادي السكة","30.0561053","31.3041965","matched","نادي السكة الحديد, شارع مجمع الفردوس, ثان مدينة نصر, القاهرة, 11759, مصر"
"87","10","جامعة الأزهر","30.0570800","31.3152310","matched","جامعة الأزهر, طريق النصر, امتداد رمسيس 2, ثان مدينة نصر, القاهرة, 11759, مصر"
"87","11","رابعة العدوية","30.0689548","31.3220029","matched","رابعة العدوية, مدينة نصر, القاهرة, 11759, مصر"
"87","12","التأمين الصحي","30.0580073","31.3263503","matched","كوبرى التأمين الصحى, مدينة نصر, القاهرة, 11371, مصر"
"87","13","نوري خطاب","30.0529812","31.3264637","matched","نوري خطاب, مدينة نصر, القاهرة, مصر"
"87","14","الحي السابع","30.0437936","31.3309093","matched","الحي السابع, محور جيهان السادات, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"87","15","إنبي","30.0443617","31.3413644","matched","شركة إنبى للبترول, شارع احمد الزمر, مدينة نصر, القاهرة, 11762, مصر"
"87","16","الوفاء والامل","30.0241896","31.3453409","matched","الوفاء والامل, مدينة نصر, القاهرة, مصر"
"87","17","جامع السلام","29.8944980","31.2606774","matched","جامع السلام, 1, شارع مسجد السلام, الحوامدية, الجيزة, 12916, مصر"
"87","18","بوابات","","","not_found",""
"87","19","الحي العاشر","30.0481855","31.3650125","matched","برج ماء الحى العاشر, شارع السد العالى, مدينة نصر, القاهرة, 11528, مصر"
"87","20","زهراء مدينة نصر","30.0476690","31.3899628","matched","زهراء مدينة نصر, مدينة نصر, القاهرة, 11528, مصر"
"87","21","أكاديمية الشرطة","30.0457492","31.4199545","matched","أكاديمية الشرطة, القاهرة, 15153, مصر"
"87","22","التجمع الاول","30.0632671","31.4544799","matched","التجمع الأول, القاهرة, 11865, مصر"
"88","1","مساكن أسكو","30.1502774","31.2772803","matched","مساكن اسكو, بهتيم, شبرا الخيمة, القليوبية, مصر"
"88","2","بهتيم","30.1389642","31.2655197","matched","بهتيم, شبرا الخيمة, القليوبية, 13752, مصر"
"88","3","الشارع الجديد","30.1399447","31.3526092","matched","الشارع الجديد, القاهرة, 11793, مصر"
"88","4","كوبرى عرابي","30.0492002","31.2321267","matched","كوبري 6 أكتوبر, الفجاله, الإسماعيلية, الأزبكية, القاهرة, 12344, مصر"
"88","5","مظلات","30.1040913","31.2461248","matched","المظلات, شارع شبرا, منيه السيرج, شبرا الخيمة, القليوبية, 13766, مصر"
"88","6","شارع شبرا","30.0847105","31.2453057","matched","شارع شبرا, البراد, برهام, روض الفرج, القاهرة, 11697, مصر"
"88","7","الخازندارة","","","not_found",""
"88","8","دوران شبرا","","","not_found",""
"88","9","مستشفى الرمد","30.0319818","31.2286432","matched","عيادة الرمد, شارع السرايا, المنيل الغربي, المنيل, القاهرة, 11562, مصر"
"88","10","روض الفرج","30.0805647","31.2453510","matched","محطة مترو روض الفرج, شارع شبرا, البراد, روض الفرج, القاهرة, 11637, مصر"
"88","11","وكالة البلح","30.0609441","31.2283884","matched","كنيسة وكالة البلح, شارع الحطب, سوق العصر, عشش النخل, السبتية, القاهرة, 11221, مصر"
"88","12","الإذاعة والتليفزيون","","","not_found",""
"88","13","تحرير","30.0443934","31.2357457","matched","ميدان التحرير, قصر الدوباره, باب اللوق, القاهرة, مصر"
"88","14","كورنيش","30.0800234","31.2308085","matched","شارع كورنيش النيل, روض الفرج البلد, السبتية, القاهرة, 11631, مصر"
"88","15","باب اللوق","30.0458315","31.2395860","matched","باب اللوق, القاهرة, 11513, مصر"
"88","16","احمد ماهر","29.9884222","31.2498955","matched","حارة احمد ماهر, المعادى, القاهرة, 11716, مصر"
"88","17","شارع قدري","30.0881191","31.2980349","matched","شارع قدري, كوبري القبة, القاهرة, 11712, مصر"
"88","18","القلعة","30.0423991","31.2660589","matched","مطعم القلعة, Royal Palm Promenade, باب الوزير والغريب, الحلمية القديمة, القاهرة, 11261, مصر"
"88","19","السيدة عائشة","30.0610603","31.3865487","matched","شارع السيدة عائشة, مدينة نصر, القاهرة, 15153, مصر"
"28","1","بيجام (ابن سينا)","30.1316683","31.2492432","matched_retry","بيجام, القليوبية, 13772, مصر"
"28","2","مؤسسة","30.0231791","31.2378263","matched","مؤسسة مستشفى سرطان الأطفال, شارع سكه حديد المحجر, زينهم, السيدة زينب, القاهرة, 11797, مصر"
"28","3","كوبرى عرابي","30.0492002","31.2321267","matched","كوبري 6 أكتوبر, الفجاله, الإسماعيلية, الأزبكية, القاهرة, 12344, مصر"
"28","4","مظلات","30.1040913","31.2461248","matched","المظلات, شارع شبرا, منيه السيرج, شبرا الخيمة, القليوبية, 13766, مصر"
"28","5","خلفاوى","30.0977898","31.2454368","matched","الخلفاوي, شارع شبرا, شريف, روض الفرج, القاهرة, 11637, مصر"
"28","6","الزاوية الحمراء","30.0924309","31.2733512","matched","شارع شركات الزاوية الحمراء, مساكن الزاويه الحمراء, الأميرية, القاهرة, 11659, مصر"
"28","7","شارع سكة الوالي","","","not_found",""
"28","8","حدائق القبة","30.0821784","31.2825387","matched","حدائق القبة, الدمرداش, القاهرة, 11646, مصر"
"28","9","كوبرى القبة","30.0833009","31.3000582","matched","كوبري القبة, القاهرة, 11712, مصر"
"28","10","الخليفة المأمون","","","not_found",""
"28","11","منشية البكري","30.0819767","31.2997352","matched","منشية البكرى, الدمرداش, القاهرة, 11811, مصر"
"28","12","نادي هليوبوليس","30.0885231","31.3164230","matched","نادي هليوبوليس الرياضي, شارع السيد الميرغنى, قسم مصر الجديدة, الزيتون, القاهرة, 11737, مصر"
"28","13","روكسى","30.0934241","31.3156978","matched","روكسي, شارع الحجاز, قسم مصر الجديدة, مصر الجديدة, القاهرة, 11757, مصر"
"28","14","كورية","","","not_found",""
"28","15","الحرية مول","","","not_found",""
"28","16","م كيلوباترا","","","not_found",""
"28","17","م صلاح الدين","","","not_found",""
"28","18","ميدان الإسماعيلية","30.0964749","31.3345308","matched","ميدان الإسماعيلية, ميدان الاسماعيليه, قسم مصر الجديدة, مصر الجديدة, القاهرة, 11757, مصر"
"28","19","م سفير","","","not_found",""
"28","20","م سانت فاتيما","","","not_found",""
"28","21","ميدان الحجاز","30.1115116","31.3458229","matched","ميدان الحجاز, الحلمية, القاهرة, مصر"
"28","22","مستشفى العيون","30.0209068","31.2431749","matched","مستشفى المقطم, شارع مجري العيون, حدائق زينهم, زينهم, عين الصيرة, القاهرة, 11654, مصر"
"28","23","مدرسة السيدة خديجة","30.1221166","31.3245424","matched","مدرسة السيدة خديجة الابتدائية المشتركة, شارع منشيه التحرير, حدائق الزيتون, القاهرة, 18511, مصر"
"28","24","الكلية الحربية","30.1092459","31.3594347","matched","الكلية الحربية, شارع محمود عصمت حمدى, بلوك 1228, القاهرة, 11799, مصر"
"28","25","مساكن شيراتون","30.1075622","31.4087055","matched","شيراتون المطار, القاهرة, مصر"
"25","1","مساكن الشروق","30.1547484","31.6206707","matched","مساكن الرائد, الشروق, القاهرة, مصر"
"25","2","النادي الأهلي","30.0712332","31.3577033","matched","النادي الأهلى, شارع حسن مأمون, مدينة نصر, القاهرة, 11391, مصر"
"25","3","احمد فخري","30.0630675","31.3493998","matched","شارع احمد فخري, المنطقة السادسة, مدينة نصر, القاهرة, 11391, مصر"
"25","4","معهد الخدمة","","","not_found",""
"25","5","اول مكرم","30.0590776","31.3459629","matched","National Motors Egypt, 39, شارع مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة, 11765, مصر"
"25","6","اول عباس","31.2665895","32.3103400","matched","شارع الشهيد ملازم اول طيار ابراهيم عباس الصياد, ابراهيم حسنين, بورسعيد, 42529, مصر"
"25","7","رابعة العدوية","30.0689548","31.3220029","matched","رابعة العدوية, مدينة نصر, القاهرة, 11759, مصر"
